Country;Title;Identification;Abstract;Keywords;Soil properties;Format;Resource locator;Layer;Format2;Resource locator2;Layer2;link_to_viewer;Language;Language2;temporal reference;date of temporal reference;temporal extent-start;temporal extent-end;interval of dates;mix indivual and interval;spatial resolution scale;spatial resolution distance;Usage constraints;Access constraints;name of organisation;email address;contact person;responsible party role;Soil function;Soil threats;Soil Indicators;Source;Lineage;Soil function;Soil threats;Soil Indicators;Done;Comment
Belgium;Soil Organic Carbon Stock Maps for Belgium;37aaa10d-50bd-431e-b924-209c2e88b9d7;Soil Organic Carbon Stock Maps for Belgium: mean (1 km grid); soil type, basic soil properties;carbon stock;wms;https://www.dov.vlaanderen.be/geoserver/organische_koolstof/wms?layers=carbon_1000;carbon_1000;;;;https://www.dov.vlaanderen.be/portaal/?module=public-bodemverkenner;dut;eng;pubblication;16-1-2018;an interval of dates;;1949-2019;;;1KM;no conditions apply;no limitation;Vlaams Planbureau voor Omgeving (VPO), Departement Omgeving, Vlaamse overheid;vpo.omgeving@vlaanderen.be;Graaf De Ferraris;Custodian;;;;;;;;;Yes;Opening https://www.dov.vlaanderen.be/geonetwork#/metadata/bf8c35ad-ab45-4084-b1e1-3042c66204aa: link broken
Belgium;Soil Organic Carbon Stock Maps for Belgium; ;Soil Organic Carbon Stock Maps for Belgium: mean (1 km grid); soil type, basic soil properties;carbon stock;WCS;https://www.dov.vlaanderen.be/geoserver/wcs?;carbon_sd_40;wms;https://www.dov.vlaanderen.be/geoserver/wms/kml?layers=organische_koolstof:carbon_sd_40;carbon_sd_40;https://www.dov.vlaanderen.be/portaal/?module=public-bodemverkenner;dut;eng;pubblication;15-1-2018;an interval of dates;;1949-2019;;;1KM;no conditions apply;no limitation;Vlaams Planbureau voor Omgeving (VPO), Departement Omgeving, Vlaamse overheid;vpo.omgeving@vlaanderen.be;Graaf De Ferraris;Custodian;;;;;;;;;;
Belgium;Potential soil erosion aggregated for a grid of 1 km by 1 km in Flanders;70f368f8-db6e-430d-9ae4-fe0acd55fe52;The potential soil erosion aggregated for a grid of 1 km  (ton/ha); soil degradation processes;soil erosion;WMS;https://www.dov.vlaanderen.be/geoserver/erosie/wms?SERVICE=WMS&version=1.3.0&request=GetMap;potential_soil_erosion;;; ;;dut;eng;pubblication;1-1-2011;an individual date;;;;;1KM;no conditions apply;no limitation;Bureau for Environment and Spatial Development – Flanders;vpo.omgeving@vlaanderen.be;Koning Albert;Custodian;;;;;;;;;Yes;Opening https://www.dov.vlaanderen.be/geonetwork#/metadata/bf8c35ad-ab45-4084-b1e1-3042c66204aa: link broken
Belgium;Potentiële bodemerosiekaart per perceel ; ;The potential soil erosion map per parcel is based on the 2017 parcel map. The erosion calculation is based on the revised universal soil loss equation or R.U.S.L.E; soil degradation processes;soil erosion;WFS;https://www.dov.vlaanderen.be/geoserver/wfs?SERVICE=WFS&version=1.1.0&request=GetCapabilities; ;wms;https://www.dov.vlaanderen.be/geoserver/erosie/wms?layers=so_potbdmerosiepp_2018;so_potbdmerosiepp_2018;https://www.dov.vlaanderen.be/geoserver/wms/kml?layers=erosie:so_potbdmerosiepp_2018;dut;eng;pubblication;14-12-2017;an interval of dates;;2012-2018;;1:150000;5m;no conditions apply;no limitation;Bureau for Environment and Spatial Development – Flanders;vpo.omgeving@vlaanderen.be;Koning Albert;Custodian;;;;;;;;;;
Belgium;WRB Reference Soil Groups 250k; ;WRB Reference Soil Groups 250k: The soil map of Belgium according to the international World Reference Base (WRB) soil classification system is a translation of the soil map; soil type, basic soil properties;Soil Map;WFS;https://www.dov.vlaanderen.be/geoserver/wfs?SERVICE=WFS&version=1.1.0&request=GetFeature; ;SQLITE;https://www.milieuinfo.be/dms/d/a/workspace/SpacesStore/522846b2-ec51-470f-91d6-16fd36265caa/wrb_250k.zip; ;;dut;eng;pubblication;24-6-2015;;;;;1:250000;;no conditions apply;no limitation;Vlaamse overheid, Departement Omgeving;vpo.omgeving@vlaanderen.be;Koning Albert;Custodian;;;;;;;;;;
Belgium;Digitale bodemkaart van het Vlaams Gewest: bodemtypes; ;Digital soil map of the Flemish Region: soil types. In accordance with the classification system used: morphogenetic for inland Flanders (substrate, texture class, drainage class, profile development group, phase and variant); soil type, basic soil properties;Soil Map;WFS;https://www.dov.vlaanderen.be/geoserver/wfs?; ;wms;https://www.dov.vlaanderen.be/geoserver/bodemkaart/wms?layers=bodemtypes;bodemtypes;;dut;eng;last revision;20-6-2017;an interval of dates;;"1947;1973";;1:20000;;no conditions apply;no limitation;Vlaamse overheid, Departement Omgeving;vpo.omgeving@vlaanderen.be;Koning Albert;Custodian;;;;;;;;;;
Belgium;WRB Soil Units 40k; ;WRB Soil Units 40k: Soil map of the Flemish Region according to the international soil classification system World Reference Base on a scale of 1: 40,000; soil type, basic soil properties;Soil Map;WFS;https://www.dov.vlaanderen.be/geoserver/wfs?SERVICE=WFS&version=1.1.0&request=GetFeature .; ;wms;https://www.dov.vlaanderen.be/geoserver/bodemkaart_afgeleid/wms;wrb_40000;;dut;eng;pubblication;26-4-2015;an interval of dates;;"1950;1970;2014";;1:40000;;no conditions apply;no limitation;Vlaamse overheid, Departement Omgeving;vpo.omgeving@vlaanderen.be;Koning Albert;Custodian;;;;;;;;;;
Belgium;Bodemprofielen kartering Belgische bodemkaart; ;Location of soil profiles mapping Belgian soil map; soil type, basic soil properties;Soil Map;WFS;https://www.dov.vlaanderen.be/geoserver/wms?SERVICE=WMS&version=1.3.0&request=GetMap; ;wms;https://www.dov.vlaanderen.be/geoserver/dov-pub-aardewerk/wms?layers=vw_profiel;vw_profiel;https://www.dov.vlaanderen.be/portaal/?module=verkenner&pos=69799.9%2C185019.9&res=14.00000000004411&layers=n:omwrgbmrvl%3Bo:ref%2Cn:to:to_topnzw_2009_raster_10k_tr%3Bo:ref%3Bt:wms%3Bv:n%2Cn:grb_sel%3Bo:ref%2Cn:dov-pub-aardewerk:vw;dut;;last revision;31-5-2011;an interval of dates;;"1947;1971;2010";;1:250000;;no conditions apply;no limitation;Databank Ondergrond Vlaanderen (DOV)  ;vpo.omgeving@vlaanderen.be;Koning Albert;Distributor;;;;;;;;;;
Bulgaria;Acidification of soils in Bulgaria; ;Soil Acidification in Bulgaria; soil degradation processes;acidification;JPG;http://eea.government.bg/bg/soer/2009/3quality/5soils_html_1d0dcc02.png; ;;; ;;bul;eng;pubblication;2009;an interval of dates;;"2002; 2009-0101";;1:400000;;no conditions apply;no limitation;Institute of soil science agrotechnology and plant protection `Nikola Poushkarov`;mkercheva@abv.bg;Milena Kercheva;Custodian;;;;;;;;;;
Bulgaria;Extent of soil salinisation in Bulgaria 2007 – 2009; ;Extent of soil salinisation in Bulgaria; soil degradation processes;salinization;JPG;http://eea.government.bg/bg/soer/2009/3quality/5soils_html_m59f640e.jpg; ;;; ;;bul;eng;pubblication;2009;an interval of dates;;"2007;2009";;1:400000;;no conditions apply;no limitation;Institute of soil science agrotechnology and plant protection `Nikola Poushkarov`;mteoharov@abv.bg;Metodi Teoharov;Custodian;;;;;;;;;;
Bulgaria;Map of the potential risk to water erosion for Bulgaria; ;Map of the potential risk to water erosion for Bulgaria; soil degradation processes;soil erosion;JPG;http://eea.government.bg/bg/soer/2009/3quality/5soils_html_3aaf8692.jpg; ;;; ;;bul;eng;pubblication;2009;an interval of dates;;"1960; 2000";;1:400000;;no conditions apply;no limitation;Institute of soil science agrotechnology and plant protection `Nikola Poushkarov`;mkercheva@abv.bg;Milena Kercheva;Custodian;;;;;;;;;;
Bulgaria;Soil Geographic Regions of Bulgaria (1974);;Soil-geographical regioning of Bulgaria. The stratification is: zones, subzones, soil provinces and soil regions.; soil type, basic soil properties;Soil Map;WMS;http://212.72.204.94:8080/geoserver/wms?service=WMS&version=1.1.0&request=GetCapabilities;;;; ;;bul;eng;pubblication;1974;an individual date;1974;;;1:400000;;no conditions apply;no limitation;Institute of soil science agrotechnology and plant protection `Nikola Poushkarov`;mkercheva@abv.bg;Milena Kercheva;Custodian;;;;;;;;;Yes;Resource locator not working
Bulgaria;Soil map of the Republic of Bulgaria in scale 1:200 000;;Soil map of the P.R. of Bulgaria 1:200000. The soil map is based on soil survey conducted 1947-1951 (14000 soil profiles and analytical data for 400 profiles); soil type, basic soil properties;Soil Map;WMS;http://212.72.204.94:8080/geoserver/bgsoil/wms?service=;;;; ;;bul;eng;pubblication;1956;an interval of dates;;"1947;1956; 2010";;1:200000;;no conditions apply;no limitation;Institute of Soil Science, Agrotechnology and Plant Protection `N. Poushkarov`;mkercheva@abv.bg;Milena Kercheva;Custodian;;;;;;;;;Yes;Resource locator not working
Czech Republic;Potenciální zranitelnost půd acidifikací; ;Map of potential acidification; soil degradation processes;acidification;HTML;http://geoportal.vumop.cz; ;;; ;;cze;;creation;2014;;;;;3,513888889;;no conditions apply;no limitation;Výzkumný ústav meliorací a ochrany půdy, v.v.i.;data@vumop.cz;Daniel Žížala;Custodian;;;;;;;;;;
Czech Republic;Retenční vodní kapacita půd; ;Map of delimitation of soil water retention capacity, large scale map; soil type, basic soil properties;avaliable water capacity;HTML;http://geoportal.vumop.cz; ;;; ;https://mapy.vumop.cz/;cze;;creation;15-12-2018;;;;;3,513888889;;no conditions apply;no limitation;Výzkumný ústav meliorací a ochrany půdy, v.v.i.;pedologie@vumop.cz;Daniel Žížala;Custodian;;;;;;;;;;
Czech Republic;Hloubka půdy (dle KPP); ;Map of soil depth, large scale map.; soil type, basic soil properties;soildepth;HTML;https://kpp.vumop.cz/?core=app; ;;; ;https://mapy.vumop.cz/;cze;;pubblication;11-12-2017;an interval of dates;;"1961;1970";;1:10000;;no conditions apply;no limitation;Ministerstvo zemědělství ČR - Odbor zemědělských registrů;info@mze.cz;;Custodian;;;;;;;;;;
Czech Republic;Skeletovitost půdy; ;Soil stoniness, large scale map.; soil type, basic soil properties;texture ;HTML;https://kpp.vumop.cz/?core=app; ;;; ;https://mapy.vumop.cz/;cze;;last revision;2015;an individual date;2015;;;3,513888889;;no conditions apply;no limitation;Ministerstvo zemědělství ČR - Odbor zemědělských registrů;info@mze.cz;;Custodian;;;;;;;;;;
Czech Republic;Potenciální zranitelnost půd utužením; ;Map of potential soil compaction; soil degradation processes;soil compaction;HTML;http://geoportal.vumop.cz; ;;; ;;cze;;last revision;2014;;;;;3,513888889;;no conditions apply;no limitation;Výzkumný ústav meliorací a ochrany půdy, v.v.i.;data@vumop.cz;Daniel Žížala;Custodian;;;;;;;;;;
Czech Republic;Evidovaná kontaminovaná místa (11/2010);57873d25-73c4-46eb-a4da-3fdfc0a80153;Reference points and names of contaminated sites already registered; soil degradation processes;soil contamination;WMS;http://geoportal.gov.cz/arcgis/services/projekty/NIKM/MapServer/WmsServer?SERVICE=WMS&REQUEST=GetCapabilities;0,1,4;;; ;;cze;;creation;30-11-2010;an interval of dates;;"'2010-11-30; 2016-07-13";;1:10000;;no conditions apply;no limitation;CENIA, česká informační agentura životního prostředí;geoportal@cenia.cz;;Custodian;;;;;;;;;Yes;All layers have the same identifier
Czech Republic;Větrná eroze půd ČR;;Map of potential soil loss by water erosion; soil degradation processes;soil erosion;WMS;https://geoportal.gov.cz/web/guest/map?wms=http://geoportal.vumop.cz/wms_vumop/zchbpej.asp;;;; ;https://me.vumop.cz/app/;cze;;creation;1-9-2013;;;;;3,513888889;;no conditions apply;no limitation;Výzkumný ústav meliorací a ochrany půdy, v.v.i.;data@vumop.cz;Daniel Žížala;Custodian;;;;;;;;;Yes;Resource locator not working
Czech Republic;Bodová vrstva základních a výběrových sond KPP; ;Spot layer of basic and selective probes KPP; soil type, basic soil properties;Soil Map;HTML;https://kpp.vumop.cz/?core=app; ;;; ;https://mapy.vumop.cz/;cze;;pubblication;11-12-2017;;;;;1:10000;;no conditions apply;no limitation;Ministerstvo zemědělství ČR - Odbor zemědělských registrů;info@mze.cz;;Custodian;;;;;;;;;;
Czech Republic;Mapy KPP; ;Soil maps from National Soil Survey ; soil type, basic soil properties;Soil Map;HTML;http://geoportal.vumop.cz; ;;; ;https://mapy.vumop.cz/;cze;;creation;1961;an individual date;1961;;;1:10000;;no conditions apply;no limitation;Výzkumný ústav meliorací a ochrany půdy, v.v.i.;data@vumop.cz;Daniel Žížala;Custodian;;;;;;;;;;
Czech Republic;Půdní mapa 1 : 50 000;500e7063-e828-4e82-b533-91c80a010817;Soil map at a scale of 1 : 50,000 of the new digital edition of the Czech Geological Survey (since 2012); soil type, basic soil properties;Soil Map;WMS;http://mapy.geology.cz/arcgis/services/Pudy/pudni_typy50/MapServer/WmsServer;0,1;;; ;;cze;;creation;1-2-2012;;;;;1:50000;;no conditions apply;no limitation;Czech Geological Survey;martin.palecek@geology.cz;Martin Paleček;Custodian;;;;;;;;;Yes;
Czech Republic;Půdní mapa 1 : 1 000 000;;Soil map compiled by Milan Tomášek and published as part of the Soil of the Czech Republic publication (3rd edition, Czech Geological Survey, 2003). ; soil type, basic soil properties;Soil Map;WMS;http://mapy.geology.cz/arcgis/services/Inspire/Pudni_typy/MapServer/WMSServer;;;; ;;cze;;creation;1-2-2012;;;;;1:1 M;;no conditions apply;no limitation;Czech Geological Survey;martin.palecek@geology.cz;Martin Paleček;Custodian;;;;;;;;;Yes;Resourch locator not working
Czech Republic;Zamokřené půdy; ;Map of permanently and periodically wet soils in the Czech Republic; soil type, basic soil properties;soil moisture;HTML;http://geoportal.vumop.cz; ;;; ;https://restep.vumop.cz/?core=account;cze;;pubblication;2008;;;;;;10m;no conditions apply;no limitation;Ministerstvo zemědělství ČR - Odbor zemědělských registrů;info@mze.cz;;Custodian;;;;;;;;;;
Denmark;Dybden til redoxgrænsen; ;Redox depth. The map illustrates depth to the redox interface in meters below ground. The interface marks the transition from oxidised to reduced conditions in the subsurface; soil type, basic soil properties;soil moisture;SHP;https://frisbee.geus.dk/geuswebshop/index.xhtml?category=61; ;;; ;https://data.geus.dk/geusmap/?mapname=denmark&lang=en#baslay=baseMapDa&optlay=&extent=3775.2127724433085,5979755.859244018,1111224.7872275566,6470244.140755982&layers=redox_dybde_100m_grid;dan;eng;pubblication;15-3-2019;;;;;1:400000;100m;no conditions apply;no limitation;De Nationale Geologiske Undersøgelser for Danmark og Grønland (GEUS);ve@geus.dk ve@geus.dk;Vibeke Ernstsen;Resource provider;;;;;;;;;;
Estonia;Mullastiku kaart;;The digital soil map of Estonia. The available maps at the scale 1:5000 were reduced and generalized to correspond the scale 1:10 000; soil type, basic soil properties;Soil Map;WMS;http://kaart.maaamet.ee/WmsServer?SERVICE=WMS&REQUEST=GetCapabilities;of10000;SHP;https://geoportaal.maaamet.ee/docs/muld/Mullakaart_SHP.zip?t=20170301161200; ;https://xgis.maaamet.ee/maps/XGis;est;eng;pubblication;1-3-2017;an interval of dates;;1954-1988;;1:10000;;no conditions apply;no limitation;MAA-AMET;maaamet@maaamet.ee;;Resource provider;;;;;;;;;Yes;No metadata found
Finland;Tutkitut turvealueet; ;Investigated peatland areas,  relates to the carbon stuff; soil type, basic soil properties;organic carbon ;GDB;https://hakku.gtk.fi/en/shopping_cart/edit; ;;; ;https://hakku.gtk.fi/fi/locations/search;fin;eng;last revision;2-7-2018;an interval of dates;;1975-1983-2001-2013-2018;;1:20000;;filled online order form;;Geologian tutkimuskeskus;geodata@gtk.fi;;Custodian;;;;;;;;;;
Finland;Maaperän taustapitoisuudet; ;Soil geochemical baselines.In Finland, a Government Decree on the Assessment of Soil Contamination and Remediation Needs has generated a need for reliable and readily accessible data on geochemical baseline concentrations in Finnish soils; soil type, basic soil properties;soil contamination;GDB;https://hakku.gtk.fi/en/shopping_cart/edit; ;XLS;; ;http://gtkdata.gtk.fi/Tapir/;fin;eng;creation;1983;an interval of dates;;"1983;1990;1995;2000;2006";;;1Km;filled online order form;;Geologian tutkimuskeskus;geodata@gtk.fi;Lilja, Harri;Custodian;;;;;;;;;;
Finland;Maannostietokanta 1:250 000; ;Soil database 1:250 000; soil type, basic soil properties;Soil Map;WFS;http://gtkdata.gtk.fi/arcgis/services/Rajapinnat/GTK_Maapera_WFS/MapServer/WFSServer?; ;;; ;https://kartta.paikkatietoikkuna.fi/?lang=en;fin;eng;pubblication;2015;an interval of dates;;"2002-01-04; 2008-12-31";;1:250000;;no conditions apply;no limitation;National land survey of Finland (NLS);kirjaamo@nls.fi;Lilja, Harri;Resource provider;;;;;;;;;;
Finland;Maapeitepaksuus; ;The superficial deposits thickness map represents the loose Quaternary deposits thickness over the bedrock; soil type, basic soil properties;soildepth;GEOTiff;https://hakku.gtk.fi/en/locations/search; ;;; ;;fin;eng;pubblication;10-12-2018;;;;;1:1 M;;no conditions apply;no limitation;National land survey of Finland (NLS);kirjaamo@nls.fi;Lilja, Harri;Owner;;;;;;;;;;
Finland;Happamat sulfaattimaat 1:250 000; ;"Acid sulfate soils 1:250 000. map product shows  interpretation of ASS occurrence in Finland classified in to four classes according to probability of occurrence; High, Moderate, Small and Very Small"; soil type, basic soil properties;Soil Map;GDB;https://hakku.gtk.fi/en/shopping_cart/edit; ;JPG;https://hakku.gtk.fi/en/locations/search?location_id=68; ;https://gtkdata.gtk.fi/hasu/index.html;fin;eng;pubblication;6-3-2019;an individual date;;;;1:250000;;filled online order form;;Geologian tutkimuskeskus;geodata@gtk.fi;;Custodian;;;;;;;;;;
Finland;Maa-aines-tuote/Aggregate sand and gravel -product; ;The soil data contains information on the location and volume of sand and gravel deposits and their ability to meet the needs of municipal engineering; soil type, basic soil properties;texture ;GDB;http://hakku.gtk.fi; ;;; ;;fin;eng;last revision;28-9-2018;an interval of dates;;1972-1998-2010-2013;;1:20000;;filled online order form;;Geologian tutkimuskeskus;geodata@gtk.fi;;Custodian;;;;;;;;;;
France;Cartogramme des teneurs en Phosphore assimilable;daa7c719-2ce6-457d-97da-8868175032c5;Map of the assimilable phosphorus contents; soil type, basic soil properties;available phosphorus ;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_rmqs/wms?;teneur_p_ass_rmqs;;; ;https://webapps.gissol.fr/geosol/;fre;;creation;28-5-2015;an interval of dates;;2010-2014;;;1m;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;Yes;"Opening https://agroenvgeo.data.inra.fr/geonetwork/srv/eng/catalog.search#/metadata/daa7c719-2ce6-457d-97da-8868175032c5 gives:  ""The record with identifier daa7c719-2ce6-457d-97da-8868175032c5 was not found or is not shared with you. Try to sign in if you've an account."""
France;Cartogramme des teneurs en Potassium total;7726cc56-8ee0-47f4-9a7f-5b9456b66151;Map of the contents in Potassium total; soil type, basic soil properties;available potassium ;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_rmqs/wms?;teneur_k_tot_rmqs;;; ;https://webapps.gissol.fr/geosol/;fre;;pubblication;28-5-2015;an interval of dates;;2010-2014;;;1m;no conditions apply;no limitation;INRA InfoSol;infosol@inra.fr;Marion Bardy;Owner;;;;;;;;;Yes;
France;Carte de la Réserve Utile en eau issue de la Base de Données Géographique des Sols de France;393d8106-4400-51cd-9767-e8bbef2f73a6;Map of the dominant class of  available water by Cartographic Unit of Soil; soil type, basic soil properties;avaliable water capacity;WMS;https://agroenvgeo.data.inra.fr/geoserver/inra_bdgsf/wms?;bdgsf_classe_ru;SHP;https://agroenvgeo.data.inra.fr/geoserver/inra_bdgsf/wfs?typeName=inra_bdgsf:bdgsf_classe_ru&outputFormat=shape-zip&request=GetFeature&service=WFS&version=2.0.0; ;https://agroenvgeo.data.inra.fr/sviewer/?x=358337&y=5901707&z=6&title=Carte%20de%20la%20R%C3%A9serve%20Utile%20en%20eau%20issue%20de%20la%20Base%20de%20Donn%C3%A9es%20G%C3%A9ographique%20des%20Sols%20de%20France&layers=inra_bdgsf:bdgsf_classe_ru;fre;eng;pubblication;17-6-2019;a mix of individual dates and intervals of dates;;"1998-09-10; '2011-07-27; 2018";;1:1 M;;no conditions apply;no limitation;INRA - Institut National de la Recherche Agronomique;infosol@inra.fr;Le Bas, Christine;Owner;;;;;;;;;Yes;
France;Cartogramme des teneurs en Calcaire total;24bf52b6-568b-494f-ade8-e19a1947e4fe;Map of the contents in total lime. The data come from the soil analysis results of the 2200 sites of the Soil Quality Measurement Network, during the first sampling campaign.; soil degradation processes;calcium carbonate ;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_rmqs/wms?;eneur_calc_tot_rmqs;;; ;https://agroenvgeo.data.inra.fr/sviewer/?x=358337&y=5901707&z=6&title=Cartogramme%20des%20teneurs%20en%20Calcaire%20total&layers=gissol_rmqs:teneur_calc_tot_rmqs;fre;;pubblication;28-5-2015;;;;;;1KM;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Marion Bardy;Owner;;;;;;;;;Yes;
France;La carte nationale des stocks de carbone des sols intégrée dans la carte mondiale de la FAO;f858525a-9fea-5ae3-93ab-43afab78483;Estimation of organic carbon stocks from 0 to 30 cm deep in metropolitan France excluding Corsica; soil type, basic soil properties;carbon stock;WMS;https://agroenvgeo.data.inra.fr/geoserver/gissol_gsm/wms?;carte_carbone_fao;;; ;https://www.gissol.fr/donnees/cartes/la-carte-nationale-des-stocks-de-carbone-des-sols-integree-dans-la-carte-mondiale-de-la-fao-4335;fre;eng;pubblication;5-7-2019;;;;;;1KM;no conditions apply;no limitation;INRA InfoSol;infosol@orleans.inra.fr;Le Bas, Christine;Owner;;;;;;;;;Yes;
