Country;Identifier;resource title;Database owner;ExternalID;Sharing policy;otherConstraints;SCORPAN;Remote sensed data;Reference year;frequency of data collection;spatial reference;spatial entity;geomety of mapping area;mapping area;ratio of map cover;Spatial resolution;other spatial reference;data collection methodology;method of mapping;depth intervals;with uncertainty quantification;IF  relevant,Was it compared with LUCAS data? IF YES, please  give a reference;YOUR OTHER COMMENTS
Portugal;INFOSOLO-Database;INFOSOLO - Database of Soil Profile Data for Portugal;INIAV;https://data.isric.org/geonetwork/srv/por/catalog.search#/metadata/25d0cf4d-1865-4d2a-be32-40a1b2483936;No restrictions;;S - Soil;no/not relevant;2014;it was a single survey;YES, georeferenced;POINT;;The INFOSOLO legacy database is the first effort to develop a soil information system in Portugal. The current version includes soil data from a set of 9934 horizons/layers studied in 3461 soil profiles across the country between 1966 and 2014. Data was extracted from scattered soil surveys, research projects, and academic studies carried out by public Portuguese and other European institutions. As the level of detail of soil information varied between datasets, a series of validation tests and harmonization procedures were implemented in order to access and improve the quality of the data;available as points;;3461 soil profiles across the country;soil profile sampling;;Genetic-based horizons (A, Ap, B, C etc);NO;Lucas data were included;Mainly, the depths  intervals are genetic based. But there are cases that are depth intervals based
Portugal;PROPSOLO-database;PROPSOLO soil hydraulic properties of portuguese soils;INIAV;Gonçalves, M. C., Ramos, T. B., Martins, J. C. 2013. Soil data from Portugal. In,Weynants et al. (eds.), European Hydropedological Data Inventory (EU-HYDI). 08/2013, Publisher,Publications Office of the European Union, pp 57-62, ISBN,978-92-79-32355-3 http://dx.doi.org/10.2788/5936;No restrictions;;S- Soil;no/not relevant;2011;it was a single survey;YES, georeferenced;POINT;;The PROPSOLO database gathers the information on soil hydraulic and pedological properties from soil profiles. The current version contains a set of 697 horizons/layers from 330 soil profiles obtained within the framework of research projects and academic studies carried out at INIAV, between 1977 and 2011.;available as points;;330 soil profiles across the country;soil profile sampling;;Genetic-based horizons (A, Ap, B, C etc);NO;No;
Portugal;ICPForestslevelIplotsinPortugalsampledfortheBioSoilsoilsurvey;ICP Forests level I plots in Portugal;Instituto da Conservação da Natureza e das Florestas, IP (http://www.icnf.pt/) Contact person,Maria Barros (conceicao.barros@icnf.pt);de Vos, B. & Cools, N. (2011). Second european forest soil condition report. Volume I,Results of the BioSoil soil survey, INBO - Research Institute for Nature and Forest, Bruxelas, 359 p. Report nº INBO.R.2011.35 [ISSN 1782-9054] https://pureportal.inbo.be/portal/nl/publications/second-european-forest-soil-condition-report(3732cc04-4a21-43b1-a2b5-2d68b18cf5da).html;Restricted;Request of authorization to ICNF (for the portuguese data);S - Soil;no/not relevant;2008;otherRestrictions;YES, georeferenced;GRID;otherRestrictions;Grid sampling (ICP Forests level I grid) 16X16 km, only forest soils;available as points;103 ICP Forests level I plots in Portugal (1 plot with an area of 600 - 1250 m2);;"1) Soil profile sampling. And, also, 2) Sampling at fixed depths,3 pits until 80 cm and 2 small pits until 20 cm depth located in the 4 cardinal points of each plot. Composite soil sample of 12-14 subsamples per depth; for Bulk density, only, 5 undisturbed samples per depth ;";;"1) Soil profile sampling,Genetic-based horizons (A, Ap, B, C etc); and also 2) Soil deth sampling at 0-10cm, 10-20 cm, 20-40 cm and 40-80 cm depths";NO;No;The 1st ICP Forests Soil condition survey was carried out in 1994-1995 (Vanmechelen et al., 1997). Soil profile sampling in the BioSoil soil survey, carried out in 2007-2008 following Mikkelsen, J. et al. 2006 Guidelines for Forest Soil Profile Description, adapted for optimal field observations within the framework of the EU Forest Focus Demonstration Project. BIOSOIL. Partly based on the 4th ed. of the Guidelines for Soil Profile Description and Classification (FAO, 2006)
Lithuania;Dirv_DR10LT;Spatial Information Portal of Lithuania;National Land Service under the Ministry of Agriculture;https://www.geoportal.lt/geoportal/en/web/engeoportal;No restrictions;Personal registration is needed;S - Soil;no/not relevant;From 1960 till now;otherRestrictions;YES, georeferenced;POINT/POLYGON;TARGET AREAS/FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:10.000;;mainly based on profile sampling;Conventional mapping,https://doi.org/10.1007/978-94-007-5642-7_6;Genetic-based horizons (A, Ap, B, C etc);NO;NO;Monitoring periodicity is single. It has no specific time-period fixed.
Lithuania;Dirv_vert;Spatial Information Portal of Lithuania;National Land Service under the Ministry of Agriculture;https://www.geoportal.lt/geoportal/en/web/engeoportal;No restrictions;Personal registration is needed;S - Soil;no/not relevant;2019 03;otherRestrictions;YES, georeferenced;POLYGON;"TARGET AREAS,agricultural lands only; ADMIN SMALL";;75-100;1:10.000;the scale varies from the level of municipalities and cadastral areas to the local area.;mainly based on profile sampling;https://doi.org/10.1007/978-94-007-5642-7_6;-;NO;NO;updated once a year
Lithuania;Mel_DR10LT;Spatial Information Portal of Lithuania;National Land Service under the Ministry of Agriculture;https://www.geoportal.lt/geoportal/en/web/engeoportal;No restrictions;Personal registration is needed;;no/not relevant;2020 01;otherRestrictions;YES, georeferenced;POLYGON/LINE;TARGET AREAS,agricultural lands only;;75-100;1:10.000;;expert evaluation;https://doi.org/10.1007/978-94-007-5642-7_6;-;NO;NO;Monitoring periodicity is single. It has no specific time-period fixed.
France;RMQS;French Soil Monitoring Network ( Réseau de Mesures de la Qualité des Sols en français);Groupement d'Intérêt Scientifique SOL and INRAE;;No restrictions;precise geographical plot location unavailable;S - Soil;no/not relevant;2001-2010;otherRestrictions;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;not only agricultural lands, all land uses are covered;available as points;16km by 16 km size cell, one plot at the centroid, 2170 plots ;;stratified random sampling device (20m by 20m)  at 2 layers ( 3 layers if possible for holorganic layer) plus soil profile description and soil profile samples, bulk samples;several types ,simple mapping (cartogram), geosatistic, spatial statististics with modeling;Other  depth intervals (specify in comments);NO;NO;
France;IGCS;Soil Management and Conservation Inventory;Groupement d'Intérêt Scientifique SOL and INRAE;DoneSol format;Restricted;;S - Soil;no/not relevant;1953-2020;otherRestrictions;PARTLY georeferenced, not the whole dataset ;NATURAL_POLYGONs,polygons with natural boundaries;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;differents scales ,1/250,000, 1/100,000, 1/50,000, 1/25,000;;;conventional mapping;Genetic-based horizons (A, Ap, B, C etc);NO;NO;
France;BDAT;Soil test database;Groupement d'Intérêt Scientifique SOL and INRAE;https://bdat.gissol.fr;No restrictions;;S - Soil;no/not relevant;2013;;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;very heterogeneous from 1 soil test/10 ha to 1/100 ha in average;;bluk samples only, soil test sampling strategy eg farmer's decision;spatial statistics;Other  depth intervals (specify in comments);NO;Yes ,https://doi.org/10.1016/j.geoderma.2018.09.007;top soil
France;BDGSF;soil geographical database of France at 1:1,000,000;INRAE;https://doi.org/10.15454/BPN57S;No restrictions;;S - Soil;no/not relevant;1998;it was a single survey;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:1,000,000;;synthesis of soil surveys and soil knowledge;conventional mapping;defined as  topsoil/subsoil  only, without any other desription;NO;no;it formed the French part of the soil geographical DB of Eurasia
France;GlobalSoilmapFrancepH;GlobalSoilMap France;GIS Sol and INRAE;https://doi.org/10.1016/j.scitotenv.2016.07.066;Restricted;;S - Soil;no/not relevant;2014;otherRestrictions;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;90*90m;;soil profiles, different sampling depth;splines, spatial statistics (cubist);"Standard GSM depth intervals; layers according to GlobalSoilMap ";YES;Yes;https://doi.org/10.1016/j.scitotenv.2016.07.066
France;GlobalSoilmapFranceCEC;GlobalSoilMap France;GIS Sol and INRAE;https://doi.org/10.1016/j.scitotenv.2016.07.066;Restricted;;S - Soil;no/not relevant;2014;otherRestrictions;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;90*90m;;soil profiles, different sampling depth;splines, spatial statistics (cubist);"Standard GSM depth intervals; layers according to GlobalSoilMap ";YES;yes;https://doi.org/10.1016/j.scitotenv.2016.07.066
France;GlobalSoilmapFrancedepth;GlobalSoilMap France;GIS Sol and INRAE;https://doi.org/10.1016/j.scitotenv.2016.07.066;Restricted;;S - Soil;no/not relevant;2014;otherRestrictions;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;90*90m;;soil profiles, different sampling depth;splines, spatial statistics (cubist);"Standard GSM depth intervals; layers according to GlobalSoilMap ";YES;Yes;https://doi.org/10.1016/j.scitotenv.2016.07.066
France;AWCBDGSF;Carte de la Réserve Utile en eau issue de la Base de Données Géographique des Sols de France;INRAE;https://doi.org/10.15454/JPB9RB;No restrictions;;S - Soil;no/not relevant;2018;otherRestrictions;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:1,000,000;;pedotransfer rules;thematic mapping;otherRestrictions;NO;no;thematic map from BDGSF
France;WRBBDGSF;Carte du nom de sol dominant en WRB issue de la Base de Données Géographique des Sols de France;INRAE;https://agroenvgeo.data.inra.fr/geonetwork/srv/fre/catalog.search#/metadata/f599548d-b0be-55f9-9adf-4e9aa3a0be91;No restrictions;;S - Soil;no/not relevant;2017;otherRestrictions;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:1,000,000;;expertise;thematic mapping;otherRestrictions;NO;no;thematic map from BDGSF
France;BDATMAPS;Maps of the agronomic soil properties from BDAT;INRAE;https://doi.org/10.15454/SVDTOU;Restricted;;S - Soil;no/not relevant;2014;regular monitoring 5-10 years;LIMITED e.g. data attributed to administrative boundary or aggregated;ADMIN_POLYGONS, e.g. municipalities, polygons with administrative boundaries, other than agricultural blocks/farms;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1/250,000;;bulk sample only;spatial statistics, geostatistics;otherRestrictions;YES;Yes ,https://doi.org/10.1016/j.geoderma.2018.09.007;
France;RMQSMAPSETM;Krigged maps of trace elements contents in French soil;INRAE;https://doi.org/10.15454/VN9F6H;No restrictions;;;Proximal sensed;2014;it was a single survey;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1000*1000;;bulk samples;geostatitsics;Other  depth intervals (specify in comments);YES;;30 cm in average
France;GlobalSoilmapFranceorganiccarbon;GlobalSoilMap France;GIS Sol and INRAE;https://doi.org/10.1016/j.scitotenv.2016.07.06610.1016/j.geoderma.2015.08.035;Restricted;;S - Soil;no/not relevant;2014;otherRestrictions;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;90*90m;;soil profiles, different sampling depth;splines, spatial statistics (cubist);"Standard GSM depth intervals; layers according to GlobalSoilMap ";YES;Yes;https://doi.org/10.1016/j.scitotenv.2016.07.066
France;GlobalSoilmapFranceavailablewatercontent;GlobalSoilMap France;GIS Sol and INRAE;https://www.sciencedirect.com/science/article/pii/S0016706118319529;Restricted;;S - Soil;no/not relevant;2014;otherRestrictions;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;90*90m;;soil profiles, different sampling depth;splines, spatial statistics (cubist) + pedotransfer rules for AWC;"Standard GSM depth intervals; layers according to GlobalSoilMap ";YES;Yes;Detailled assessment of the uncertainty
Italy;Nationalmonitoringofarablesoilchemicalquality(VALSE)1974-2018;Italian Soil Information System;CREA;https://doi.org/10.1007/978-94-007-5642-7_6;No restrictions;;S - Soil;no/not relevant;2013;;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;Available as points;;631 sampling sites;Bulk samples from 10 x 10 m areas ;;Other  depth intervals (specify in comments);NO;NO;Topsoil 0-15 cm
Italy;VALSEsubset2018;Geological map of Italy by Compagnoni et al., 1983;;http://opac.isprambiente.it/SebinaOpac/Opac?action=documentview&sessID=163F7581877A0FF557CD28C792D07E48@2904d67b&docID=4;No restrictions;;P - Parent material;no/not relevant;1983;;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;Available as points;;151 sampling sites;Undisturbed core samples;;Other  depth intervals (specify in comments);NO;NO;Topsoil 0-40 cm  (0-5cm,5-15cm,15-25cm and 25-40cm)
Italy;SISI-BADASUOLI;Italian Soil Information System;CREA;https://doi.org/10.1007/978-94-007-5642-7_6;No restrictions;;S - Soil;no/not relevant;2013;;YES, georeferenced;DERIVED Soil Profiles linked to the polygons;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:1.000.000;;mainly based on profile sampling;Conventional mapping,https://doi.org/10.1007/978-94-007-5642-7_6;Genetic-based horizons (A, Ap, B, C etc);NO;NO;
Italy;IT-GEO;Geological map of Italy by Compagnoni et al., 1983;;http://opac.isprambiente.it/SebinaOpac/Opac?action=documentview&sessID=163F7581877A0FF557CD28C792D07E48@2904d67b&docID=4;No restrictions;;P - Parent material;no/not relevant;1983;;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1:500.000;;;;;;;
Italy;IT-SR;Italian Soil Regions;CREA;https://doi.org/10.1007/978-94-007-5642-7_6;No restrictions;;S - Soil;no/not relevant;2013;;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;1:5.000.000;;;;;;;
Italy;IT-Spectral_library;Spectral soil library (vis-NIR-MIR);CREA;;otherRestrictions;;S - Soil;Proximal sensed;;;YES, georeferenced;POINT;none of the above;;available as points;;;;;;;;
Italy;TAIR;Long-term mean annual air temperature (1960-2008);CREA;https://doi.org/10.1007/978-94-007-5642-7_2;No restrictions;;C - Climate;no/not relevant;1960-2008;;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1000 M pixel;;;;;;;
Italy;RICA;Rete di Informazione Contabile Agricola (Farms Agronomical Mangement database);CREA;https://gaia.crea.gov.it/#Rica;otherRestrictions;;O - Organisms;no/not relevant;;;YES, georeferenced;NATURAL_POLYGONs,polygons with natural boundaries;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";;;;;;;;;;
Italy;IT-GSOCmap;Global Soil Organic Carbon Map.;CREA-FAO-GSP;http://54.229.242.119/GSOCmap/;No restrictions;;S - Soil;no/not relevant;1990-2013;;YES, georeferenced;GRID;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;75-100;1000 M pixel/6748 total points used;;mixed sampling type;Neural network and General Linear Models;Other  depth intervals (specify in comments);YES;no;Topsoil 30 m. The method for SOC used was Springer and Klee and 'flash combustion elemental analyser'
Italy;CREAAAItalianhistoricalwheaterseries;CREA AA Italian historical wheater series;CREA;https://www.reterurale.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/16319 ;Restricted;;C - Climate;no/not relevant;1961-2017;otherRestrictions;YES, georeferenced;GRID;FULL_REGIO,spatially exhaustive for the area of an administrative region/federal-state with natural unit boundaries;;75-100;0.14/0.10° Long/Lat;;;;;;;Air temperature (max and min) and precipitation daily dataset
Turkey;TR-GSOCMap;Global Soil Organic Carbon Map.;TAGEM-FAO-GSP;http://54.229.242.119/GSOCmap/;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Regression Kriging;Other  depth intervals (specify in comments);NO;no;Topsoil 0-30 cm
Turkey;TR-SOCStockmap;National Soil Carbon Stock Map;TAGEM;https://arastirma.tarimorman.gov.tr/toprakgubre/Belgeler/Karbon_Panel/Toprak%20Organik%20Karbon%20Bilgi%20Sistemi%20Projesi.pdf;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Regression Kriging;Other  depth intervals (specify in comments);NO;no;Topsoil 0-30 cm
Turkey;TR-BoronMap;Boron  Map of Turkey's Soils;TAGEM-National Boron Institute;https://arastirma.tarimorman.gov.tr/toprakgubre/Haber/155/Enstitumuz-Tarafindan-Ilk-Olarak-Uretilmis-Olan-Turkiye-Topraklari-Bor-Haritasi-Guncellenmistir;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1,1 600 000/15 396 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;0-30 cm, 30- 60 cm
Turkey;TR-SalinityMap;Salinity  Map of Turkey's Soils;TAGEM;https://arastirma.tarimorman.gov.tr/toprakgubre/Belgeler/Karbon_Panel/Toprak%20Organik%20Karbon%20Bilgi%20Sistemi%20Projesi.pdf;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TR-pHMap;pH  Map of Turkey's Soils;TAGEM;;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TR-K2OMap;K2O  Map of Turkey's Soils;TAGEM;;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TR-P2O5Map;P2O5  Map of Turkey's Soils;TAGEM;https://arastirma.tarimorman.gov.tr/toprakgubre/Belgeler/Karbon_Panel/Toprak%20Organik%20Karbon%20Bilgi%20Sistemi%20Projesi.pdf;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TR-CaCO3Map;CacO3  Map of Turkey's Soils;TAGEM;;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TR-SandMap;Sand  Map of Turkey's Soils;TAGEM;;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TR-SiltMap;Silt  Map of Turkey's Soils;TAGEM;;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TR-ClayMap;Clay  Map of Turkey's Soils;TAGEM;;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TR-CECMap;CEC  Map of Turkey's Soils;TAGEM;;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;BulkdensityMap;Bulk density  Map of Turkey's Soils;TAGEM;;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008-2009;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;1:500 000/7742 points ;;mixed sampling type;Ordinary Kriging;Other  depth intervals (specify in comments);NO;no;Top soil, 0-30 cm
Turkey;TAGEM_SFWRCRI_SIS;Turkish Ministry of Agriculture and Forestry Soil Fertilizer and Water Resources Central Research Institute  Soil Information System;TAGEM;http://85.25.185.76/tgskmae/starter.aspx;Restricted;Data Sharing Rules of TAGEM;S - Soil;no/not relevant;2008- present;it was a single survey;YES, georeferenced;POINT;FULL,spatially exhaustive for the whole country/agricultural lands with natural unit boundaries;;not relevant;more than 30 000 samples, sampling continues;;mixed sampling type, 2 Km x 2 Km grid, soil profile sampling;;Other  depth intervals (specify in comments);NO;no;Mainly top soil, 0-30 cm, soil profile  
Czech republic;KPP-SystematicSoilSurvey;Komplexní průzkum půd (Systematic Soil Survey);Ministry of Agriculture Czech Republic;https://kpp.vumop.cz;Restricted;;S - Soil;no/not relevant;1961-1971;it was a single survey;YES, georeferenced;POINT;"TARGET AREAS, for the whole country, but thematically constrained (please specify; e.g.,on irrigated areas, nitrate vulnerable zones etc.)";only agricultural land use (forests and protected area are not covered, because of it we couldn´t say FULL);75-100;1:10.000;;profile sampling;conventional mapping;Genetic-based horizons (A, Ap, B, C etc);NO;no;points  and polygon maps available, inluding map of texture classes and parent material (all in 1:10.000)
