type,url,name,description,zenodo
external,https://projects.au.dk/ejpsoil/soil-research/first-external-call-projects-selected/wish-roots,WISH-ROOTS,"Tuning the wheat root microbiome to improve soil health and optimize rhizosphere nitrogen cycling and availability",
external,https://projects.au.dk/ejpsoil/soil-research/first-external-call-projects-selected/iconica,ICONICA,"Impact of long-term phosphorus additions on Carbon sequestration and Nitrogen Cycling in Agricultural soils",
external,https://projects.au.dk/ejpsoil/soil-research/first-external-call-projects-selected/cropgas,CropGas,"The effect of conservation agriculture interventions on greenhouse gas emissions",
external,https://projects.au.dk/ejpsoil/soil-research/first-external-call-projects-selected/soilsynbiotics,SoilSynbiotics,"Development of Synbiotics for enhancing the soil microbiome",
external,https://projects.au.dk/ejpsoil/soil-research/first-external-call-projects-selected/soil-heal,SOIL-HEAL,"Symbiotic Solutions for Healthy Agricultural Landscapes",
external,https://projects.au.dk/ejpsoil/soil-research/second-external-call-international-call/climatecropping,ClimateCropping,"Climate Smart Management for Resilient European Cropping Systems",
external,https://projects.au.dk/ejpsoil/soil-research/second-external-call-international-call/soil-es,SOIL-ES,"Soil ecosystem services under sustainable intensification of agriculture: looking for innovative mapping and monitoring at multiple scales.",
external,https://projects.au.dk/ejpsoil/soil-research/second-external-call-international-call/tilsoilc,TilSoilC,"The effects of tillage practice on soil carbon sequestration mechanisms.",
external,https://projects.au.dk/ejpsoil/soil-research/second-external-call-international-call/sanchosthirst,SANCHOSTHIRST,"Cover cropS (CC) ANd soil health and climAte CHaNge adaptatiOn in Semiarid woody crops. THe RemOte SensIng and furTHer scenaRIoS projecTions.",
external,https://projects.au.dk/ejpsoil/soil-research/second-external-call-international-call/carbograss,CarboGrass,"Impact of grassland management on soil carbon storage.",
external,https://projects.au.dk/ejpsoil/soil-research/second-external-call-international-call/c-around,C-arouNd,"Refining Soil Conservation and Regenerative Practices to Enhance Carbon Sequestration and Reduce Greenhouse Gas Emissions.",
external,https://projects.au.dk/ejpsoil/soil-research/second-external-call-international-call/famosos,FAMOSOS,"FArm MOnitoring via Real-time SOil Sensing.",
external,https://projects.au.dk/ejpsoil/soil-research/second-external-call-international-call/agrocomposit,AGROCOMPOSIT,"Biochar-compost composites for supporting site-specific soil agro-ecosystem functions and climate change mitigation.",


            
